"No.","Protocol","Length","Time","Source","Info","Destination"
"208","UDP","1042","8.532987781","127.0.0.1","42003  >  51168 Len=1000","127.0.0.1"
"209","UDP","1042","8.533033876","127.0.0.1","35487  >  44003 Len=1000","127.0.0.1"
"210","UDP","1042","8.533065092","127.0.0.1","44003  >  35487 Len=1000","127.0.0.1"
"211","UDP","82","9.034676890","127.0.0.1","39323  >  43003 Len=40","127.0.0.1"
"212","UDP","54","9.034726288","127.0.0.1","43003  >  39323 Len=12","127.0.0.1"
"213","UDP","1042","9.034789849","127.0.0.1","47197  >  42003 Len=1000","127.0.0.1"
"214","UDP","1042","9.034842424","127.0.0.1","42003  >  47197 Len=1000","127.0.0.1"
"215","UDP","1042","9.034899703","127.0.0.1","57388  >  44003 Len=1000","127.0.0.1"
"216","UDP","1042","9.034945778","127.0.0.1","44003  >  57388 Len=1000","127.0.0.1"
"217","UDP","82","9.035000185","127.0.0.1","33846  >  43003 Len=40","127.0.0.1"
"218","UDP","54","9.035028607","127.0.0.1","43003  >  33846 Len=12","127.0.0.1"
"219","UDP","1042","9.035079787","127.0.0.1","50149  >  42003 Len=1000","127.0.0.1"
"220","UDP","1042","9.035103918","127.0.0.1","42003  >  50149 Len=1000","127.0.0.1"
"221","UDP","1042","9.035151718","127.0.0.1","35587  >  44003 Len=1000","127.0.0.1"
"222","UDP","1042","9.035175255","127.0.0.1","44003  >  35587 Len=1000","127.0.0.1"
"223","UDP","82","9.035221276","127.0.0.1","36735  >  43003 Len=40","127.0.0.1"
"224","UDP","54","9.035247286","127.0.0.1","43003  >  36735 Len=12","127.0.0.1"
"225","UDP","1042","9.035296952","127.0.0.1","58100  >  42003 Len=1000","127.0.0.1"
"226","UDP","1042","9.035317822","127.0.0.1","42003  >  58100 Len=1000","127.0.0.1"
"227","UDP","1042","9.035363110","127.0.0.1","57503  >  44003 Len=1000","127.0.0.1"
"228","UDP","1042","9.035383579","127.0.0.1","44003  >  57503 Len=1000","127.0.0.1"
"229","UDP","82","9.035427032","127.0.0.1","44068  >  43003 Len=40","127.0.0.1"
"230","UDP","54","9.035453284","127.0.0.1","43003  >  44068 Len=12","127.0.0.1"
"231","UDP","1042","9.035500946","127.0.0.1","36075  >  42003 Len=1000","127.0.0.1"
"232","UDP","1042","9.035532384","127.0.0.1","42003  >  36075 Len=1000","127.0.0.1"
"233","UDP","1042","9.035576636","127.0.0.1","33443  >  44003 Len=1000","127.0.0.1"
"234","UDP","1042","9.035605215","127.0.0.1","44003  >  33443 Len=1000","127.0.0.1"
"235","UDP","82","10.038819896","127.0.0.1","32834  >  43003 Len=40","127.0.0.1"
"236","UDP","54","10.038864832","127.0.0.1","43003  >  32834 Len=12","127.0.0.1"
"237","UDP","1042","10.038934125","127.0.0.1","35188  >  42003 Len=1000","127.0.0.1"
"238","UDP","1042","10.038988063","127.0.0.1","42003  >  35188 Len=1000","127.0.0.1"
"239","UDP","1042","10.039043782","127.0.0.1","48488  >  44003 Len=1000","127.0.0.1"
"240","UDP","1042","10.039090290","127.0.0.1","44003  >  48488 Len=1000","127.0.0.1"
"241","UDP","82","10.039149518","127.0.0.1","45680  >  43003 Len=40","127.0.0.1"
"242","UDP","54","10.039172981","127.0.0.1","43003  >  45680 Len=12","127.0.0.1"
"243","UDP","1042","10.039221732","127.0.0.1","41348  >  42003 Len=1000","127.0.0.1"
"244","UDP","1042","10.039244668","127.0.0.1","42003  >  41348 Len=1000","127.0.0.1"
"245","UDP","1042","10.039290103","127.0.0.1","53116  >  44003 Len=1000","127.0.0.1"
"246","UDP","1042","10.039312228","127.0.0.1","44003  >  53116 Len=1000","127.0.0.1"
"247","UDP","82","10.540877809","127.0.0.1","42642  >  43003 Len=40","127.0.0.1"
"248","UDP","54","10.540922411","127.0.0.1","43003  >  42642 Len=12","127.0.0.1"
"249","UDP","1042","10.540985007","127.0.0.1","58908  >  42003 Len=1000","127.0.0.1"
"250","UDP","1042","10.541037910","127.0.0.1","42003  >  58908 Len=1000","127.0.0.1"
"251","UDP","1042","10.541099879","127.0.0.1","51415  >  44003 Len=1000","127.0.0.1"
"252","UDP","1042","10.541145620","127.0.0.1","44003  >  51415 Len=1000","127.0.0.1"
"253","UDP","82","10.541199125","127.0.0.1","34472  >  43003 Len=40","127.0.0.1"
"254","UDP","54","10.541222578","127.0.0.1","43003  >  34472 Len=12","127.0.0.1"
"255","UDP","1042","10.541272351","127.0.0.1","56685  >  42003 Len=1000","127.0.0.1"
"256","UDP","1042","10.541305356","127.0.0.1","42003  >  56685 Len=1000","127.0.0.1"
"257","UDP","1042","10.541353780","127.0.0.1","53069  >  44003 Len=1000","127.0.0.1"
"258","UDP","1042","10.541383900","127.0.0.1","44003  >  53069 Len=1000","127.0.0.1"
"259","UDP","82","10.541429723","127.0.0.1","34768  >  43003 Len=40","127.0.0.1"
"260","UDP","54","10.541452245","127.0.0.1","43003  >  34768 Len=12","127.0.0.1"
"261","UDP","1042","10.541499865","127.0.0.1","54869  >  42003 Len=1000","127.0.0.1"
"262","UDP","1042","10.541520687","127.0.0.1","42003  >  54869 Len=1000","127.0.0.1"
"263","UDP","1042","10.541564642","127.0.0.1","58418  >  44003 Len=1000","127.0.0.1"
"264","UDP","1042","10.541584692","127.0.0.1","44003  >  58418 Len=1000","127.0.0.1"
"265","UDP","82","11.043321626","127.0.0.1","36697  >  43003 Len=40","127.0.0.1"
"266","UDP","54","11.043372497","127.0.0.1","43003  >  36697 Len=12","127.0.0.1"
"267","UDP","1042","11.043444066","127.0.0.1","57419  >  42003 Len=1000","127.0.0.1"
"268","UDP","1042","11.043513124","127.0.0.1","42003  >  57419 Len=1000","127.0.0.1"
"269","UDP","1042","11.043579932","127.0.0.1","37638  >  44003 Len=1000","127.0.0.1"
"270","UDP","1042","11.043629820","127.0.0.1","44003  >  37638 Len=1000","127.0.0.1"
"271","UDP","82","11.043698044","127.0.0.1","55066  >  43003 Len=40","127.0.0.1"
"272","UDP","54","11.043724180","127.0.0.1","43003  >  55066 Len=12","127.0.0.1"
"273","UDP","1042","11.043780295","127.0.0.1","53438  >  42003 Len=1000","127.0.0.1"
"274","UDP","1042","11.043805933","127.0.0.1","42003  >  53438 Len=1000","127.0.0.1"
"275","UDP","1042","11.043858706","127.0.0.1","58461  >  44003 Len=1000","127.0.0.1"
"276","UDP","1042","11.043884111","127.0.0.1","44003  >  58461 Len=1000","127.0.0.1"
"277","UDP","82","11.043937658","127.0.0.1","44551  >  43003 Len=40","127.0.0.1"
"278","UDP","54","11.043963771","127.0.0.1","43003  >  44551 Len=12","127.0.0.1"
"279","UDP","1042","11.044027259","127.0.0.1","59787  >  42003 Len=1000","127.0.0.1"
"280","UDP","1042","11.044063781","127.0.0.1","42003  >  59787 Len=1000","127.0.0.1"
"281","UDP","1042","11.044121584","127.0.0.1","38473  >  44003 Len=1000","127.0.0.1"
"282","UDP","1042","11.044154110","127.0.0.1","44003  >  38473 Len=1000","127.0.0.1"
"283","UDP","82","11.545851276","127.0.0.1","46724  >  43003 Len=40","127.0.0.1"
